round,alice_bit,alice_basis,bob_basis,bob_bit,keep
1,0,X,Z,0,False
2,1,X,X,1,True
3,1,X,Z,0,False
4,0,X,Z,0,False
5,1,X,Z,0,False
6,0,X,Z,0,False
7,0,Z,X,0,False
8,0,X,Z,0,False
9,0,X,X,0,True
10,0,X,Z,0,False
11,0,X,Z,0,False
12,1,X,X,1,True
13,0,Z,Z,0,True
14,1,Z,X,0,False
15,0,X,X,0,True
16,0,X,X,0,True
17,1,Z,Z,1,True
18,1,Z,Z,1,True
19,1,X,X,1,True
20,1,Z,Z,1,True
21,0,X,Z,0,False
22,1,Z,X,0,False
23,0,X,X,0,True
24,0,Z,X,0,False
25,0,X,Z,0,False
26,1,X,Z,0,False
27,1,X,Z,0,False
28,0,Z,X,0,False
29,0,Z,Z,0,True
30,1,X,Z,0,False
31,0,X,X,0,True
32,1,X,Z,0,False
33,0,X,X,0,True
34,1,X,Z,0,False
35,1,X,X,1,True
36,0,X,Z,0,False
37,1,X,Z,0,False
38,1,Z,X,0,False
39,0,X,X,0,True
40,1,Z,X,0,False
41,1,X,Z,0,False
42,0,X,Z,0,False
43,0,X,Z,0,False
44,0,Z,Z,0,True
45,0,X,X,0,True
46,0,Z,Z,0,True
47,0,Z,Z,0,True
48,1,Z,Z,1,True
49,0,X,Z,0,False
50,0,Z,Z,0,True
51,0,X,X,0,True
52,0,Z,Z,0,True
53,0,Z,X,0,False
54,0,Z,X,0,False
55,0,Z,X,0,False
56,1,Z,Z,1,True
57,0,X,Z,0,False
58,1,X,X,1,True
59,0,Z,X,0,False
60,1,X,X,1,True
61,1,X,Z,0,False
62,1,Z,X,0,False
63,1,Z,Z,1,True
64,1,X,X,1,True
65,0,Z,X,0,False
66,0,X,X,0,True
67,0,Z,X,0,False
68,1,Z,X,0,False
69,0,Z,X,0,False
70,1,X,X,1,True
71,1,Z,X,0,False
72,0,X,Z,0,False
73,0,Z,X,0,False
74,1,X,X,1,True
75,0,X,Z,0,False
76,1,Z,Z,1,True
77,1,Z,X,0,False
78,0,X,X,0,True
79,1,X,Z,0,False
80,1,X,X,1,True
81,1,X,X,1,True
82,0,X,Z,0,False
83,0,X,Z,0,False
84,1,X,X,1,True
85,1,Z,X,0,False
86,0,X,Z,0,False
87,1,X,X,1,True
88,1,Z,Z,1,True
89,1,Z,Z,1,True
90,0,X,Z,0,False
91,1,X,Z,0,False
92,0,Z,Z,0,True
93,0,X,X,0,True
94,0,Z,X,0,False
95,1,Z,Z,1,True
96,0,X,Z,0,False
97,0,Z,X,0,False
98,0,Z,X,0,False
99,1,Z,Z,1,True
100,0,X,X,0,True
101,1,Z,X,0,False
102,0,Z,X,0,False
103,0,Z,Z,0,True
104,0,Z,Z,0,True
105,0,X,Z,0,False
106,0,X,X,0,True
107,0,Z,Z,0,True
108,0,X,X,0,True
109,1,Z,Z,1,True
110,1,Z,Z,1,True
111,0,X,X,0,True
112,0,X,X,0,True
113,1,Z,Z,1,True
114,1,X,X,1,True
115,0,X,Z,0,False
116,1,X,X,1,True
117,0,X,X,0,True
118,0,X,Z,0,False
119,0,Z,X,0,False
120,1,X,Z,0,False
121,0,X,X,0,True
122,0,X,X,0,True
123,1,Z,Z,1,True
124,1,Z,Z,1,True
125,0,X,X,0,True
126,1,Z,X,0,False
127,1,Z,X,0,False
128,0,X,X,0,True
129,1,X,X,1,True
130,0,Z,X,0,False
131,0,X,Z,0,False
132,0,Z,X,0,False
133,1,X,Z,0,False
134,0,Z,Z,0,True
135,0,Z,Z,0,True
136,1,Z,Z,1,True
137,1,Z,Z,1,True
138,1,X,X,1,True
139,0,X,X,0,True
140,0,X,X,0,True
141,1,X,X,1,True
142,0,Z,Z,0,True
143,0,Z,X,0,False
144,1,X,Z,0,False
145,1,X,Z,0,False
146,0,X,Z,0,False
147,1,Z,X,0,False
148,1,X,X,1,True
149,1,X,Z,0,False
150,0,X,X,0,True
151,1,X,X,1,True
152,0,Z,X,0,False
153,0,Z,Z,0,True
154,1,X,X,1,True
155,0,X,X,0,True
156,1,X,Z,0,False
157,0,X,X,0,True
158,0,X,Z,0,False
159,0,X,Z,0,False
160,0,Z,X,0,False
161,0,X,X,0,True
162,0,Z,X,0,False
163,1,X,X,1,True
164,1,X,Z,0,False
165,1,X,X,1,True
166,0,Z,X,0,False
167,0,Z,Z,0,True
168,0,Z,X,0,False
169,1,X,X,1,True
170,0,Z,Z,0,True
171,0,Z,Z,0,True
172,1,Z,X,0,False
173,0,X,Z,0,False
174,1,Z,X,0,False
175,0,Z,Z,0,True
176,0,Z,Z,0,True
177,0,X,X,0,True
178,1,Z,Z,1,True
179,1,X,Z,0,False
180,0,X,Z,0,False
181,0,X,X,0,True
182,1,X,Z,0,False
183,0,Z,Z,0,True
184,1,Z,X,0,False
185,1,Z,X,0,False
186,1,Z,Z,1,True
187,1,X,X,1,True
188,0,Z,Z,0,True
189,1,X,X,1,True
190,0,Z,X,0,False
191,0,X,Z,0,False
192,0,X,Z,0,False
193,0,X,X,0,True
194,0,Z,Z,0,True
195,1,X,X,1,True
196,1,Z,Z,1,True
197,0,Z,X,0,False
198,0,Z,Z,0,True
199,1,X,X,1,True
200,0,X,X,0,True
